model,mae,rmse,mape
naive,0.021976302228616417,0.032647487215633854,0.22607696945568118
moving_average,0.3357556963250659,0.4270687770834092,2.393539069114014
linear_regression_baseline,0.015006040296533208,0.021197133968608412,0.17167984943734108
linear_regression_fourier,0.01507201664793681,0.020853920857532824,0.18008315131960137
xgboost,0.017837414798204096,0.026560329167623666,0.19718666564676304
lstm,0.23670112633622156,0.3418563930401897,2.384744982530752
gru,0.15224404259806165,0.20402175514932624,1.391238019778802
transformer,0.19234396684747948,0.2609704576401373,1.7861626655020661
sarimax,0.5005199742343155,0.6255287184695197,3.18395205555912
